question,answer0,answer1,answer2,weight0,weight1,weight2,correctAnswerIndex,guessedAnswerIndex
"Which ""profession"" wouldnormally use a Bristolboard?","""Chemist""",Gardener,Artist,0.212143,0.248720,0.539137,1,2
Which of these is a commoncircus act?,DJ battle,History lecture,Human cannonball,0.089530,0.887709,0.022762,2,1
What character appears onstickers that warn childrenof poisons?,Mr. Yum,Mr. Yuk,Mr. D. Lishus,0.937194,0.030867,0.031939,1,0
What color is in the middleof most three-color trafﬁclights?,Yellow,Green,Red,0.126688,0.386383,0.486929,0,2
What is the ofﬁcial languageof Brazil?,Spanish,French,Portuguese,0.009504,0.005530,0.984966,2,2
Which of the followingpastas literally translates to“little ears”?,Rotelle,Ricciolini,Orecchiette,0.357688,0.374046,0.268266,2,1
What are the scientists on“The Muppet Show” namedfor?,Lab equipment,Astronomers,Universities,0.873415,0.017381,0.109204,0,0
What shape are the faces ofan octahedron?,Tra pezoids,Pentagons,Triangles,0.002582,0.182635,0.814782,2,2
Which is NOT the name of aMarx Brother?,Zeppo,Gummo,Jocko,0.396411,0.331158,0.272431,2,0
"When put side by side,which two state postalabbreviations form a postalword?",Mississippi / Iowa,Missouri / Nebraska,Massachusetts / Illinois,0.308492,0.346620,0.344887,2,1
Which US state's capital liesat the highest altitude?,Colorado,Wyoming,New Mexico,0.583691,0.310443,0.105866,2,0
What did Mr. Potato Headgive to C. Everett Koop at a19805 press event?,Plant,Plaque,Pipe,0.188579,0.708059,0.103362,2,1
What do candles on abirthday cake traditionallyrepresent?,Number of friends,Age,Love of ﬁre,0.484032,0.509069,0.006899,1,1
Which of these Georges wasa US president?,George Washington,George Jefferson,George Clinton,0.903192,0.038152,0.058656,0,0
On what “day” at the gymwould you focus on yourquadriceps muscles?,Arm Day,Leg Day,Rest Day,0.296720,0.366133,0.337147,1,1
"When gorillas walk, theyput pressure most directlyon what part of the hand?",Fingertips,Knuckles,Palms,0.416200,0.225765,0.358035,1,0
What land animal holds theGuinness World Record forthe largest mouth?,Hippopotamus,African elephant,Bengal tiger,0.261783,0.587961,0.150257,0,1
Where is the largestsawgrass prairie in NorthAmerica?,Montana,Arkansas,Florida,0.233853,0.229399,0.536748,2,2
Which of these scientists iscredited as the ﬁrst to giveher subjects names insteadof numbers?,Margaret Mead,Dian Fossey,Jane Goodall,0.467247,0.132692,0.400061,2,0
Which of these bestdescribes the symbol for“NOT” in American SignLanguage?,Crossed forearms,Index ﬁnger to nose,Thumb under chin,0.072502,0.921670,0.005829,0,1
"Measured by magnitude,the largest recordedearthquake in US history hitwhat city hardest?","San Francisco, CA","Los Angeles, CA","Anchorage, AK",0.381413,0.307357,0.311229,2,0
Koko the gorilla is famousfor doing which of thesethings?,Knowing her birthday,Meeting a US president,Keeping a pet,0.337838,0.131757,0.530405,2,2
"According to ancientRome’s iconic epic, whathero was hidden inside theTrojan Horse?",Hercules,Ulysses,Achilles,0.352662,0.337742,0.309596,1,0
Which of these synonymsfor “big” traces its roots tothe biggest country onEarth?,Behemoth,Gargantuan,Mammoth,0.390212,0.261905,0.347884,2,0
The term “blog” is short forwhat?,Back-linking of guests,Web log,Bluetooth object gate,0.694395,0.180472,0.125132,1,0
Which of these animals is acrustacean?,Fiddler crab,Recluse spider,Pilot ﬁsh,0.465717,0.503924,0.030359,0,1
An actor wno speaksdirectly to the camera oraudience is said to bebreaking what?,The third camera,The fourth wall,The ﬁfth scene,0.802420,0.197531,0.000049,1,0
What is the islandcontaining Haiti and theDominican Republic called?,Dominica,New Providence,Hispaniola,0.775026,0.022507,0.202467,2,0
Which of these is an actualNobel Prize category?,Chemistry,Engineering,Mathematics,0.229697,0.367879,0.402424,0,2
What is the name of GeorgeRR Martin’s best-sellingfantasy novel series?,A Song of Ice and Fire,The Rains of Castamere,Game of Thrones,0.617857,0.000609,0.381534,0,0
"For the US 50 StateQuarters Program, Ohio andNorth Carolina argued overthe rights to a famous what?",Vehicle,Building,Animal,0.247934,0.417815,0.334252,0,1
Which of these is a bone inthe human body AND ageometric form?,Ethmoid,Rhomboid,Trapezium,0.338968,0.338968,0.322064,2,0
